Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,A,B,C,D,alpha,beta,split_k_mode,split_k_slices,batch_count,raster_order,runtime_input_datatype_a,runtime_input_datatype_b,use_pdl,enable_sm90_mixed_dtype_shuffle_test,swizzle_size,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,gemm,cutlass_simt_sgemm_128x128_8x5_nn_align1,passed,success,universal,4096,4096,4096,f32:column,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,128,8,1,1,1,1,1,1,5,4,2,1,1,1,1,50,1024,201326592,137472507904,682,4.14745,45.2085,33146.3
1,CUTLASS,gemm,cutlass_simt_sgemm_256x128_8x4_nn_align1,passed,success,universal,4096,4096,4096,f32:column,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,256,128,8,1,1,1,1,1,1,4,4,2,1,1,1,1,50,1024,201326592,137472507904,682,4.17188,44.9438,32952.2
1,CUTLASS,gemm,cutlass_simt_sgemm_128x256_8x4_nn_align1,passed,success,universal,4096,4096,4096,f32:column,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,256,8,1,1,1,1,1,1,4,2,4,1,1,1,1,50,1024,201326592,137472507904,682,4.06042,46.1775,33856.7
1,CUTLASS,gemm,cutlass_simt_sgemm_128x128_8x4_nn_align1,passed,success,universal,4096,4096,4096,f32:column,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,128,8,1,1,1,1,1,1,4,4,2,1,1,1,1,50,1024,201326592,137472507904,682,4.15102,45.1696,33117.8
1,CUTLASS,gemm,cutlass_simt_sgemm_128x64_8x5_nn_align1,passed,success,universal,4096,4096,4096,f32:column,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,64,8,1,1,1,1,1,1,5,2,2,1,1,1,1,50,1024,201326592,137472507904,682,4.69446,39.9407,29284
1,CUTLASS,gemm,cutlass_simt_sgemm_64x128_8x5_nn_align1,passed,success,universal,4096,4096,4096,f32:column,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,64,128,8,1,1,1,1,1,1,5,2,2,1,1,1,1,50,1024,201326592,137472507904,682,3.81044,49.2069,36077.9
1,CUTLASS,gemm,cutlass_simt_sgemm_64x64_8x5_nn_align1,passed,success,universal,4096,4096,4096,f32:column,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,64,64,8,1,1,1,1,1,1,5,2,1,1,1,1,1,50,1024,201326592,137472507904,682,4.40428,42.5723,31213.4
1,CUTLASS,gemm,cutlass_simt_sgemm_128x32_8x5_nn_align1,passed,success,universal,4096,4096,4096,f32:column,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,32,8,1,1,1,1,1,1,5,2,1,1,1,1,1,50,1024,201326592,137472507904,682,6.50409,28.828,21136.3
1,CUTLASS,gemm,cutlass_simt_sgemm_32x128_8x5_nn_align1,passed,success,universal,4096,4096,4096,f32:column,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,32,128,8,1,1,1,1,1,1,5,1,2,1,1,1,1,50,1024,201326592,137472507904,682,4.50223,41.646,30534.3
1,CUTLASS,gemm,cutlass_simt_sgemm_256x128_8x5_nt_align1,passed,success,universal,4096,4096,4096,f32:column,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,256,128,8,1,1,1,1,1,1,5,4,2,1,1,1,1,50,1024,201326592,137472507904,682,3.98828,47.0128,34469.2
1,CUTLASS,gemm,cutlass_simt_sgemm_128x256_8x5_nt_align1,passed,success,universal,4096,4096,4096,f32:column,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,256,8,1,1,1,1,1,1,5,2,4,1,1,1,1,50,1024,201326592,137472507904,682,3.83802,48.8534,35818.6
